source,defect_seed,target,sample_count,truth,prediction_mean,bias,bias_percent_truth,mare_percent,prediction_std,prediction_iqr,prediction_range,prediction_range_percent_truth,coverage_count,coverage,interval_width_mean,relative_interval_width_mean_percent
photographic,10558,max_width,16,1.0651860237121582,1.059842973947525,-0.005343049764633179,-0.5016071977749694,3.2638447760980225,0.05334879516384022,0.0380270779132843,0.21885323524475098,20.546010778666673,15,0.9375,0.10945784952751936,10.275937450442722
photographic,10558,crack_area,16,68.28300476074219,70.99583768844604,2.7128329277038574,3.9729255284084117,3.9729255284084117,2.0312270701833697,2.4469757080078125,7.140541076660156,10.457274253937713,10,0.625,7.376539528921057,10.802892395798663
photographic,10660,centerline_length,16,92.58834838867188,94.14402198791504,1.555673599243164,1.6802045033924589,1.697011265897259,2.2105677430130437,0.8709964752197266,8.980377197265625,9.69925196156147,15,0.9375,8.427450802795988,9.102064081993152
photographic,10660,mean_width,16,0.537559986114502,0.5571100190281868,0.019550032913684845,3.636809550315121,3.636809550315121,0.014958773426635636,0.023102745413780212,0.043836891651153564,8.154790680758774,15,0.9375,0.08220305889453661,15.291885746315035
photographic,10660,max_width,16,0.5909039974212646,0.6327133253216743,0.0418093279004097,7.075485710516048,7.075485710516048,0.021844964394071967,0.024749279022216797,0.08046281337738037,13.616901176591158,14,0.875,0.12783717140963802,21.63416933504021
photographic,10660,crack_area,16,49.771766662597656,52.9841525554657,3.212385892868042,6.454233209451407,6.454233209451407,2.1540713558122624,2.2506589889526367,8.21609115600586,16.50753370219439,11,0.6875,8.052377688203137,16.178605318131723
photographic,10694,centerline_length,16,94.69628143310547,95.70882081985474,1.0125393867492676,1.0692493637826073,1.3653048602601783,1.7338898176269406,1.2174415588378906,7.352989196777344,7.764813026973587,15,0.9375,7.671642711313666,8.101313584032338
photographic,10694,mean_width,16,0.8170130252838135,0.8275382407009602,0.010525215417146683,1.2882555224245587,1.3821523156728388,0.01554197436817274,0.014176398515701294,0.06048715114593506,7.40345003984766,15,0.9375,0.05983967890094144,7.3242013345080235
photographic,10694,max_width,16,1.0138189792633057,1.000184789299965,-0.01363418996334076,-1.3448347527729339,2.51457458554441,0.02553334565888935,0.034763917326927185,0.08650898933410645,8.532981834387085,16,1.0,0.09794406224893848,9.660902414759468
photographic,10694,crack_area,16,77.36805725097656,79.03279781341553,1.6647405624389648,2.1517156066600753,2.628373678332232,2.470790356541212,2.5284671783447266,8.799247741699219,11.373230832402932,13,0.8125,7.288560583288927,9.42063280669611
photographic,10701,centerline_length,16,159.01763916015625,158.00054168701172,-1.0170974731445312,-0.6396129879152281,1.1553424306569764,1.953232238440167,1.6328582763671875,7.7296905517578125,4.860901339361965,16,1.0,13.640745087185906,8.578133318560646
photographic,10701,mean_width,16,0.9323549866676331,0.9318681210279465,-0.00048686563968658447,-0.052218913037266015,0.7228850501150053,0.008834212767275564,0.00761789083480835,0.031067609786987305,3.33216534809636,16,1.0,0.07956480556600143,8.533745912635396
photographic,10701,max_width,16,1.1309800148010254,1.1351464688777924,0.004166454076766968,0.3683932538365832,0.953418436848738,0.014093353995445987,0.017761796712875366,0.05940556526184082,5.252574270491606,16,1.0,0.1376598611239892,12.171732419887885
photographic,10701,crack_area,16,148.2608642578125,149.0333833694458,0.7725191116333008,0.5210539649154874,1.1533879388137034,2.765173798779119,1.5595664978027344,11.145843505859375,7.5177246279083745,16,1.0,16.57995598714342,11.18296191657992
photographic,10784,centerline_length,16,46.873146057128906,49.78726887702942,2.9141228199005127,6.217041237959118,6.217041237959118,2.9095242202919676,2.286980628967285,9.887046813964844,21.093200789028604,14,0.875,13.38381454676994,28.553267003793113
photographic,10784,mean_width,16,0.8900570273399353,0.9031230099499226,0.013065982609987259,1.4679938710260898,2.367011220826484,0.028834990406462847,0.03679659962654114,0.1040734052658081,11.692891811308607,15,0.9375,0.12086722708263276,13.57971718327555
photographic,10784,max_width,16,1.2493029832839966,1.1934894919395447,-0.055813491344451904,-4.467570484602305,4.467570484602305,0.016577637922765696,0.024592339992523193,0.05129516124725342,4.105902405869209,14,0.875,0.1421236282724827,11.376233801898685
photographic,10784,crack_area,16,41.71975326538086,45.80728220939636,4.087528944015503,9.797586572515382,9.797586572515382,3.9873983259191284,3.9600582122802734,13.465309143066406,32.27562027371803,11,0.6875,10.620612768922342,25.45703638601178
photographic,10866,centerline_length,16,161.0198974609375,159.7437620162964,-1.2761354446411133,-0.7925327644372003,1.2321068978261283,2.082793982953167,0.983489990234375,9.5972900390625,5.96031309819381,16,1.0,11.923216284601494,7.404809264329582
photographic,10866,mean_width,16,0.9404640197753906,0.9533294327557087,0.01286541298031807,1.367985665564398,1.757201299272523,0.019238965624426892,0.02672344446182251,0.07151895761489868,7.604645803672471,14,0.875,0.06886916279824629,7.322891822559484
photographic,10866,max_width,16,1.1111589670181274,1.0883251801133156,-0.02283378690481186,-2.054952313986892,2.7703953899318714,0.025217746248274987,0.026868104934692383,0.08549010753631592,7.69377830480319,16,1.0,0.1171176323515013,10.540132944775186
photographic,10866,crack_area,16,151.43348693847656,151.00217723846436,-0.43130970001220703,-0.2848179149354441,1.93208909504859,4.546162488450423,2.391815185546875,19.65838623046875,12.98153177867154,15,0.9375,15.026501769026254,9.922839441140997
procedural,10155,centerline_length,8,100.73223114013672,100.4570484161377,-0.27518272399902344,-0.2731823974157731,0.5269944539854997,0.5655933641910319,0.4372730255126953,1.7490921020507812,1.736377803066308,8,1.0,7.345334964865515,7.291941101400631
procedural,10155,mean_width,8,0.8975409865379333,0.9018420800566673,0.004301093518733978,0.47920859138973687,0.5263306353418883,0.003780261061011658,0.0062694549560546875,0.009588539600372314,1.0683121711642378,8,1.0,0.06061461954813829,6.753409644493878
procedural,10155,max_width,8,1.144942045211792,1.107768401503563,-0.037173643708229065,-3.246770774441484,3.246770774441484,0.006889096359845488,0.005467712879180908,0.018506169319152832,1.6163411411561492,8,1.0,0.10343399308422363,9.033993774339063
procedural,10155,crack_area,8,90.4112777709961,90.11262035369873,-0.2986574172973633,-0.330332038945226,0.5254902223868301,0.5962334493266207,0.6520748138427734,1.785003662109375,1.9743152691975376,8,1.0,7.571956846696139,8.375013641412355
procedural,10316,centerline_length,8,118.33891296386719,119.64590644836426,1.3069934844970703,1.1044494594065934,1.1172614025810723,0.9244477893244731,0.948974609375,2.9027481079101562,2.4529109108822573,8,1.0,9.532292683613377,8.055078794347134
procedural,10316,mean_width,8,0.5754179954528809,0.5648598521947861,-0.010558143258094788,-1.834864974944872,1.9449550607049246,0.010111282504370572,0.012907683849334717,0.029503226280212402,5.127268614008497,8,1.0,0.08324445002225733,14.46677905106879
procedural,10316,max_width,8,0.6350799798965454,0.6377555951476097,0.0026756152510643005,0.42130366816163195,1.5232172149572112,0.01238736233718525,0.01598256826400757,0.03701215982437134,5.827952540780867,8,1.0,0.1325136787773893,20.865667785493063
procedural,10316,crack_area,8,68.0943374633789,68.11936378479004,0.025026321411132812,0.03675242662371442,1.7085410723563155,1.481759626889298,1.7638931274414062,4.3534393310546875,6.393247211482107,8,1.0,8.107976434266675,11.90697602223847
procedural,10558,centerline_length,8,73.8900146484375,74.10435199737549,0.21433734893798828,0.29007620306720394,0.43160820666207395,0.4191547513797392,0.29772186279296875,1.4885940551757812,2.0146078766642384,8,1.0,7.859303257321244,10.636488969064562
procedural,10558,mean_width,8,0.9241170287132263,0.9247531816363335,0.0006361529231071472,0.06883900018517669,0.12171691108248645,0.0015004714271369367,0.00119858980178833,0.004794299602508545,0.518797885283458,8,1.0,0.06576223828185235,7.116224053724239
procedural,10558,max_width,8,1.0651860237121582,1.0307735800743103,-0.0344124436378479,-3.23065106674241,3.23065106674241,0.004001866563264567,0.0029967427253723145,0.012617826461791992,1.184565529485549,8,1.0,0.10137807458662706,9.517405629612554
procedural,10558,crack_area,8,68.28300476074219,68.49466037750244,0.2116556167602539,0.3099682234281826,0.48475612821913766,0.3763676020765555,0.3752937316894531,1.2009506225585938,1.758784088026914,8,1.0,7.25261856561383,10.621410980706525
procedural,10660,centerline_length,8,92.58834838867188,93.89329719543457,1.3049488067626953,1.409409314965548,1.409409314965548,0.4338790415093492,0.5582180023193359,1.2652969360351562,1.3665833315479732,8,1.0,8.312404971723481,8.977808888899565
procedural,10660,mean_width,8,0.5375589728355408,0.5355410128831863,-0.002017959952354431,-0.3753932227584265,1.5093040127654154,0.010303532590458022,0.013276517391204834,0.029503226280212402,5.488370164223551,8,1.0,0.08366268651430753,15.563443406590302
